epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5624,1.0955,2.74676,1.47776,0.56584,0.85,0.8784,0.63416,1.65176,1.03299,1.38296,0,0,0
2,37.3786,1.16552,2.77738,1.47422,0.55643,0.85,0.88731,0.63508,1.66862,1.02752,1.38435,1.17822e-06,1.17822e-06,1.17822e-06
3,38.6796,1.091,2.49698,1.21491,0.55813,0.85,0.85045,0.6153,1.68096,1.01339,1.38616,2.33288e-06,2.33288e-06,2.33288e-06
4,40.0915,1.16614,2.79464,1.48616,0.54057,0.85,0.8573,0.63723,1.66679,0.98982,1.36525,3.46397e-06,3.46397e-06,3.46397e-06
5,41.7815,1.20913,2.46771,1.61736,0.54636,0.85,0.85793,0.63702,1.66359,1.01394,1.36389,4.5715e-06,4.5715e-06,4.5715e-06
6,43.3945,0.83261,1.92066,1.14795,0.54392,0.85975,0.85863,0.62877,1.67754,1.00248,1.3695,5.65548e-06,5.65548e-06,5.65548e-06
7,45.0064,1.40781,2.75647,1.76805,0.54226,0.86439,0.85924,0.62878,1.67473,1.01963,1.37162,6.71588e-06,6.71588e-06,6.71588e-06
8,46.3306,1.24156,3.85738,1.69272,0.55791,0.86667,0.86246,0.63112,1.67185,1.024,1.36317,7.75273e-06,7.75273e-06,7.75273e-06
9,47.2703,0.91028,2.96644,1.27406,0.54493,0.86667,0.89601,0.63276,1.68112,1.02639,1.36487,8.76602e-06,8.76602e-06,8.76602e-06
10,48.4725,1.08019,2.19799,1.29563,0.53368,0.86667,0.89477,0.6436,1.67353,1.03182,1.36065,9.75574e-06,9.75574e-06,9.75574e-06
11,49.7702,1.17491,2.2585,1.55799,0.63599,0.94513,0.90934,0.64894,1.66518,1.03611,1.35733,1.07219e-05,1.07219e-05,1.07219e-05
12,51.0278,1.01644,2.35326,1.3965,0.64231,0.94549,0.90871,0.64463,1.66874,1.04906,1.35584,1.16645e-05,1.16645e-05,1.16645e-05
13,52.6528,1.36828,3.25485,1.80757,0.62888,0.95,0.91241,0.64809,1.68037,1.05553,1.36121,1.25835e-05,1.25835e-05,1.25835e-05
14,54.4653,0.84441,2.45176,1.26274,0.63363,0.78333,0.91259,0.64812,1.68024,1.06491,1.36064,1.3479e-05,1.3479e-05,1.3479e-05
15,56.2916,1.27415,3.04021,1.52675,0.63484,0.78333,0.91022,0.65153,1.68105,1.07276,1.36095,1.43509e-05,1.43509e-05,1.43509e-05
16,57.9805,1.20922,2.03955,1.5109,0.64281,0.78333,0.91031,0.65121,1.6759,1.07609,1.35975,1.51993e-05,1.51993e-05,1.51993e-05
17,59.5349,0.8194,1.55229,1.18303,0.64106,0.78333,0.9106,0.62873,1.67103,1.08876,1.35797,1.60241e-05,1.60241e-05,1.60241e-05
18,61.0477,0.62558,1.34291,1.00016,0.64106,0.78333,0.9106,0.62873,1.67103,1.08876,1.35797,1.68253e-05,1.68253e-05,1.68253e-05
19,62.6124,0.73109,1.61135,1.05472,0.82981,0.65,0.87367,0.62408,1.68841,1.12488,1.37429,1.7603e-05,1.7603e-05,1.7603e-05
20,63.9045,1.18199,1.7551,1.35319,0.82981,0.65,0.87367,0.62408,1.68841,1.12488,1.37429,1.83571e-05,1.83571e-05,1.83571e-05
21,65.0242,0.7809,1.80884,1.18715,0.79725,0.65,0.85588,0.62732,1.6978,1.17771,1.38114,1.90876e-05,1.90876e-05,1.90876e-05
22,66.5408,1.07737,1.69426,1.24556,0.79725,0.65,0.85588,0.62732,1.6978,1.17771,1.38114,1.97946e-05,1.97946e-05,1.97946e-05
23,67.2554,0.96055,1.74793,1.40683,0.79135,0.65,0.85573,0.62711,1.70115,1.20341,1.38535,2.0478e-05,2.0478e-05,2.0478e-05
24,67.8583,0.9306,1.6581,1.23289,0.79135,0.65,0.85573,0.62711,1.70115,1.20341,1.38535,2.11379e-05,2.11379e-05,2.11379e-05
25,68.5598,0.6588,2.02397,1.0709,0.79179,0.65,0.85521,0.60806,1.69374,1.22961,1.3844,2.17741e-05,2.17741e-05,2.17741e-05
26,69.2663,0.8523,1.30786,1.17902,0.79179,0.65,0.85521,0.60806,1.69374,1.22961,1.3844,2.23869e-05,2.23869e-05,2.23869e-05
27,70.0765,0.95958,1.46619,1.40135,0.79809,0.65,0.855,0.57912,1.70419,1.28569,1.39173,2.2976e-05,2.2976e-05,2.2976e-05
28,70.7071,0.97056,1.19957,1.25261,0.79809,0.65,0.855,0.57912,1.70419,1.28569,1.39173,2.35417e-05,2.35417e-05,2.35417e-05
29,71.4811,0.92898,1.66054,1.27984,0.78723,0.65,0.85469,0.61224,1.66197,1.30394,1.3645,2.40837e-05,2.40837e-05,2.40837e-05
30,72.1826,1.03798,1.27194,1.32174,0.78723,0.65,0.85469,0.61224,1.66197,1.30394,1.3645,2.46022e-05,2.46022e-05,2.46022e-05
31,73.053,1.01024,1.69794,1.34895,0.76375,0.65,0.85453,0.58146,1.65801,1.34471,1.3736,2.50971e-05,2.50971e-05,2.50971e-05
32,73.8308,0.66891,1.49543,1.31021,0.76375,0.65,0.85453,0.58146,1.65801,1.34471,1.3736,2.55685e-05,2.55685e-05,2.55685e-05
33,74.5932,1.05497,1.9523,1.35042,0.79108,0.65,0.86078,0.56662,1.62788,1.37959,1.35757,2.60163e-05,2.60163e-05,2.60163e-05
34,75.3119,1.06052,1.93555,1.45176,0.79108,0.65,0.86078,0.56662,1.62788,1.37959,1.35757,2.64405e-05,2.64405e-05,2.64405e-05
35,76.6415,0.9065,1.23688,1.30475,0.81587,0.63811,0.85215,0.55992,1.59558,1.4077,1.34311,2.68412e-05,2.68412e-05,2.68412e-05
36,77.7594,1.03394,1.46162,1.39654,0.81587,0.63811,0.85215,0.55992,1.59558,1.4077,1.34311,2.72183e-05,2.72183e-05,2.72183e-05
37,78.7076,0.97444,1.03758,1.34097,0.78977,0.64678,0.84916,0.54904,1.59968,1.46332,1.34724,2.75718e-05,2.75718e-05,2.75718e-05
38,79.7999,0.54657,0.82639,0.94787,0.78977,0.64678,0.84916,0.54904,1.59968,1.46332,1.34724,2.79018e-05,2.79018e-05,2.79018e-05
