epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7121,1.71781,3.31089,1.78663,0.00278,0.93659,0.15276,0.06156,1.72286,3.72997,2.03752,0.00056,0.00056,0.00056
2,39.7586,1.82934,3.13449,1.90518,0.33582,0.0561,0.14621,0.04722,2.08669,3.78139,2.57567,0.00112871,0.00112871,0.00112871
3,57.8123,1.8881,2.94288,1.9369,0.21501,0.23659,0.126,0.03756,2.26304,4.16032,2.83826,0.00168594,0.00168594,0.00168594
4,83.235,1.89294,2.78007,1.96805,0.1625,0.17805,0.07168,0.0227,2.73727,8.82087,3.33873,0.0019406,0.0019406,0.0019406
5,98.7168,1.93081,2.71719,1.94232,0.04552,0.24878,0.03097,0.01028,2.37798,34.7313,2.9505,0.0019208,0.0019208,0.0019208
6,112.131,1.92455,2.6318,1.9092,0.20902,0.18049,0.11063,0.04053,2.29336,6.38705,2.73436,0.001901,0.001901,0.001901
7,125.839,1.93175,2.5402,1.9474,0.16417,0.22927,0.11107,0.03467,2.52008,2.86912,2.73794,0.0018812,0.0018812,0.0018812
8,141.109,1.88488,2.49265,1.87058,0.35774,0.31707,0.25749,0.09471,2.01245,3.00331,2.24921,0.0018614,0.0018614,0.0018614
9,158.299,1.91574,2.46534,1.94281,0.27564,0.3878,0.2132,0.08243,2.00072,3.38337,2.14523,0.0018416,0.0018416,0.0018416
10,174.465,1.85627,2.35982,1.86307,0.36295,0.37073,0.30515,0.11466,2.03359,2.24701,2.19385,0.0018218,0.0018218,0.0018218
11,190.857,1.83391,2.27782,1.84654,0.30161,0.38293,0.25539,0.10285,1.87426,4.23568,2.0366,0.001802,0.001802,0.001802
12,209.442,1.80399,2.21097,1.80044,0.36696,0.4561,0.327,0.13995,1.90576,2.52383,2.01983,0.0017822,0.0017822,0.0017822
13,228.993,1.83878,2.26272,1.88808,0.33059,0.42927,0.31833,0.12922,1.82587,4.13177,1.94603,0.0017624,0.0017624,0.0017624
14,251.832,1.76973,2.24321,1.82048,0.44493,0.38906,0.37486,0.16608,1.84297,3.37945,2.01314,0.0017426,0.0017426,0.0017426
15,272.162,1.81002,2.13492,1.84315,0.44326,0.44634,0.40105,0.17035,1.95886,2.10455,2.06597,0.0017228,0.0017228,0.0017228
16,293.564,1.79157,2.12726,1.82503,0.46158,0.44634,0.39738,0.17387,1.87284,2.30706,1.95597,0.001703,0.001703,0.001703
17,315.584,1.71706,2.09768,1.78597,0.43686,0.45854,0.40862,0.17959,1.84502,2.11682,2.03001,0.0016832,0.0016832,0.0016832
18,338.642,1.6915,1.98744,1.73795,0.49768,0.46585,0.4638,0.2378,1.74982,1.93234,1.84859,0.0016634,0.0016634,0.0016634
19,363.228,1.7396,2.11963,1.7456,0.42344,0.42275,0.37341,0.15963,1.83314,2.19612,2.01011,0.0016436,0.0016436,0.0016436
20,387.302,1.69892,2.03107,1.7423,0.51593,0.44972,0.46498,0.21711,1.78577,1.92237,1.86873,0.0016238,0.0016238,0.0016238
21,408.191,1.73454,1.95641,1.76659,0.52688,0.4878,0.48435,0.22697,1.72301,2.03337,1.8688,0.001604,0.001604,0.001604
22,431.084,1.66604,1.95355,1.73466,0.53605,0.48753,0.48771,0.23949,1.67415,1.94892,1.78114,0.0015842,0.0015842,0.0015842
23,454.264,1.69828,1.94276,1.7563,0.51029,0.50577,0.48101,0.23623,1.67701,2.14494,1.79455,0.0015644,0.0015644,0.0015644
24,480.031,1.65112,1.94177,1.71959,0.51134,0.4878,0.49514,0.24678,1.60682,1.98929,1.76741,0.0015446,0.0015446,0.0015446
25,503.438,1.60786,1.87024,1.69105,0.48768,0.41327,0.40533,0.19507,1.80089,2.02585,1.91175,0.0015248,0.0015248,0.0015248
26,528.747,1.64701,1.83772,1.69638,0.51883,0.49512,0.50605,0.24752,1.64732,2.36758,1.79482,0.001505,0.001505,0.001505
